id,date,title,dossier_ref,votants,suffrages_exprimes,pour,contre,url
2023-1,2023-10-09T22:00:00+00:00,"sur lamendement n° 9, présenté par M. Yannick Jadot et les membres du groupe Écologiste - Solidarité et Territoires, à larticle unique constituant l'ensemble de la proposition de loi visant à renforcer le rôle des maires dans l'attribution des logements sociaux",,345,345,99,246,https://www.senat.fr/scrutin-public/2023/scr2023-1.html
2023-100,2023-12-12T23:00:00+00:00,sur l'article unique constituant l'ensemble de la proposition de loi visant à lutter contre la précarité de la jeunesse par l'instauration d'une allocation autonomie universelle d'études,73104,341,331,103,228,https://www.senat.fr/scrutin-public/2023/scr2023-100.html
2023-101,2023-12-13T23:00:00+00:00,sur l'ensemble de la proposition de loi tendant à tenir compte de la capacité contributive des collectivités territoriales dans l'attribution des subventions et dotations destinées aux investissements relatifs à la transition écologique des bâtiments scolaires,,340,340,340,0,https://www.senat.fr/scrutin-public/2023/scr2023-101.html
2023-104,2023-12-17T23:00:00+00:00,sur lensemble du texte élaboré par la commission mixte paritaire sur la proposition de loi relative à l'ouverture à la concurrence du réseau de bus francilien de la RATP,,340,340,242,98,https://www.senat.fr/scrutin-public/2023/scr2023-104.html
2023-108,2023-12-18T23:00:00+00:00,"sur la motion n° I-1, présentée par M. Jean-François Husson au nom de la commission des finances, tendant à opposer la question préalable au projet de loi de finances pour 2024 (nouvelle lecture)",,341,306,251,55,https://www.senat.fr/scrutin-public/2023/scr2023-108.html
2023-124,2024-02-14T23:00:00+00:00,sur larticle 1er de la proposition de loi visant à préserver des sols vivants,73223,318,313,110,203,https://www.senat.fr/scrutin-public/2023/scr2023-124.html
